phase,epic,ticket_id,title,dependencies,primary_owner,acceptance_criterion
3,"Entities, Licences, Quality and Counterparties",P3-009,Implement counterparty risk components,"P3-003,P3-006,P3-007,P3-008",Risk Engineer,"Scores are decomposable, versioned, evidence-backed and never substitute for underlying facts."
3,"Entities, Licences, Quality and Counterparties",P3-010,Build counterparty monitoring and alerts,"P3-009,P2-009",Workflow Engineer,"Licence, ownership, quality, enforcement and recall changes re-evaluate approved counterparties."
3,"Entities, Licences, Quality and Counterparties",P3-011,Build due-diligence report and review workflow,P3-009,Product Engineer,"Reports expose sources, freshness, unresolved conflicts, reviewer status and export restrictions."
3,"Entities, Licences, Quality and Counterparties",P3-012,Certify entity/licence/counterparty release,P3-001..P3-011,QA/Data Governance Lead,"Resolution benchmark, licence history, privacy, quality evidence, risk explainability and monitoring meet gate."
4,Market Access and Import/Export Corridors,P4-001,Implement product and substance classifier,"P0-004,P1-008",Trade Product Engineer,"Products retain composition, form, strength, intended use, packaging and jurisdiction-specific controlled status."
4,Market Access and Import/Export Corridors,P4-002,Implement corridor version model,"P4-001,P3-006",Backend Engineer,"Origin, transit, destination, parties, product, purpose, quantity, date and route are immutable per version."
4,Market Access and Import/Export Corridors,P4-003,Define mandatory corridor gate library,"P2-006,P3-007",Trade/Legal Lead,"Legal, licence, permit, quota, quality, customs, logistics, insurance, contract and counterparty gates are versioned."
4,Market Access and Import/Export Corridors,P4-004,Implement corridor gate evaluator,"P4-002,P4-003,P2-003",Rules Engineer,"Gate results are deterministic, evidence-backed, expiry-aware and explain missing inputs."
4,Market Access and Import/Export Corridors,P4-005,Implement import/export permit intelligence,"P3-006,P4-003",Trade Data Engineer,"Authority, permit class, prerequisites, forms, fees, lead times and validity are normalized with official evidence."
4,Market Access and Import/Export Corridors,P4-006,"Implement customs, tax and tariff layer","P4-001,P4-002",Customs Engineer,"Commodity classifications, duties, taxes, declarations and uncertainty are date- and corridor-specific."
4,Market Access and Import/Export Corridors,P4-007,Implement quality and batch-release gates,"P3-007,P4-003",Quality Engineer,"GACP/GMP/GDP, testing, CoA, release and facility conditions evaluate against product and corridor."
4,Market Access and Import/Export Corridors,P4-008,"Implement logistics, security and transit gates","P4-002,P4-003",Supply Chain Engineer,"Carrier, storage, security, transit, route and receipt requirements are modeled and reviewed."
4,Market Access and Import/Export Corridors,P4-009,Implement GO/CONDITIONAL GO/HOLD determination,P4-004..P4-008,Trade Product Engineer,"Determination exposes blocking gates, conditions, assumptions, confidence, validity and specialist approval."
4,Market Access and Import/Export Corridors,P4-010,Build market-entry project workspace,"P4-009,P2-008",Product Engineer,"Projects sequence gates, owners, dates, documents, counterparties and approvals."
4,Market Access and Import/Export Corridors,P4-011,Build controlled deal room and document readiness,"P4-010,P2-011",Security/Product Engineer,"Matter-scoped external access, conditions, documents, expiration and audit logging work."
4,Market Access and Import/Export Corridors,P4-012,Certify corridor release,P4-001..P4-011,Trade QA/Counsel Lead,"Representative corridors pass counsel review, transit/product/quantity changes trigger re-evaluation, and no GO lacks evidence."
5,Canonical Market and Commercial Intelligence,P5-001,Implement canonical metric registry,P1-012,Market Data Architect,"Every metric has definition, inclusions, exclusions, units, period, methodology, owner and revision policy."
5,Canonical Market and Commercial Intelligence,P5-002,Implement market data zones and contracts,P5-001,Data Platform Engineer,"Raw, standardized, reconciled, canonical, analytical, published, private and restricted zones enforce contracts and rights."
5,Canonical Market and Commercial Intelligence,P5-003,Onboard official market datasets,"P5-002,P1-003",Market Data Engineer,"Approved official sales, production, inventory, licence, patient, tax and trade datasets retain source lineage."
5,Canonical Market and Commercial Intelligence,P5-004,Integrate licensed commercial datasets,"P5-002,P0-007",Data Partnerships Engineer,"POS, price or commercial feeds enforce field-level rights, tenant entitlements and termination controls."
5,Canonical Market and Commercial Intelligence,P5-005,"Implement unit, currency and period normalization","P5-003,P5-004",Data Engineer,Conversions retain rate/date lineage and never merge incompatible market definitions.
5,Canonical Market and Commercial Intelligence,P5-006,Implement metric reconciliation engine,P5-005,Data Quality Engineer,"Components, totals, revisions and source conflicts produce explicit exceptions instead of silent overwrites."
5,Canonical Market and Commercial Intelligence,P5-007,Implement observation revision history,P5-006,Backend Engineer,"Actual, preliminary, estimate, imputed, forecast and scenario states remain distinct and time-versioned."
5,Canonical Market and Commercial Intelligence,P5-008,Implement forecast and scenario registry,P5-007,Market Science Lead,"Models expose baselines, assumptions, confidence intervals, versions, approval and backtesting."
5,Canonical Market and Commercial Intelligence,P5-009,Implement commercial signal detection,"P5-003,P3-008",Market Intelligence Engineer,"Tenders, shortages, openings, capital projects, recalls, funding and partnerships produce evidence-backed signals."
5,Canonical Market and Commercial Intelligence,P5-010,Build market explorer and executive reports,"P5-006,P5-008,P5-009",Product Engineer,"Charts and reports expose as-of dates, definitions, states, sources, confidence and reconciliation notes."
5,Canonical Market and Commercial Intelligence,P5-011,Implement opportunity score methodology,"P5-006,P4-009",Market Science Lead,"Score components and weights are transparent, versioned, challengeable and never hide gating failures."
5,Canonical Market and Commercial Intelligence,P5-012,Certify market-intelligence release,P5-001..P5-011,QA/Data Governance Lead,"No conflicting canonical totals; actual/estimate/forecast labels, rights, reconciliation and forecast baselines pass."
6,Transaction and Ecosystem Layer,P6-001,Implement qualified partner discovery,"P3-009,P4-009",Marketplace Engineer,"Search returns only entitlement-appropriate counterparties with licence, quality, corridor and freshness context."
6,Transaction and Ecosystem Layer,P6-002,Implement structured demand and supply requests,P6-001,Marketplace Engineer,"Requests specify product, quantity, quality, jurisdictions, dates, documents and confidentiality."
6,Transaction and Ecosystem Layer,P6-003,Implement matching and eligibility rules,"P6-002,P4-004",Rules Engineer,"Matches cannot bypass licence, product, corridor, quality or counterparty gates."
6,Transaction and Ecosystem Layer,P6-004,Implement transaction workspace,"P6-003,P4-011",Product Engineer,"Parties manage questions, conditions, documents, approvals and change history in a matter-scoped room."
6,Transaction and Ecosystem Layer,P6-005,Implement transaction readiness determination,"P6-004,P4-009",Trade Product Engineer,"Readiness combines current corridor, counterparty, documents, quality and commercial conditions."
6,Transaction and Ecosystem Layer,P6-006,Implement shipment milestone model,P6-005,Supply Chain Engineer,"Permit, dispatch, customs, release, transit, receipt and exception events retain evidence and responsible party."
6,Transaction and Ecosystem Layer,P6-007,Implement quality-event and dispute workflow,"P6-006,P3-007",Quality Product Engineer,"Deviations, rejected batches, recalls, disputes and corrective actions are isolated and auditable."
6,Transaction and Ecosystem Layer,P6-008,Implement counterparty performance history,"P6-006,P6-007",Risk Engineer,"Delivery, document, quality and payment outcomes are evidence-backed and permissioned."
6,Transaction and Ecosystem Layer,P6-009,Implement transaction notifications and escalations,"P6-005,P2-009",Workflow Engineer,"Material condition, permit, quality and schedule changes route to responsible parties."
6,Transaction and Ecosystem Layer,P6-010,Implement lawful commercial fee controls,P6-005,Legal/Finance Lead,"Fee types, jurisdictions, tax, invoicing and licensing exposure are approved before activation."
6,Transaction and Ecosystem Layer,P6-011,Implement marketplace public/private projections,"P6-001,P6-004",Security Engineer,"Public discovery cannot expose provenance, private evidence, counterparties, negotiation or restricted data."
6,Transaction and Ecosystem Layer,P6-012,Certify transaction-layer release,P6-001..P6-011,QA/Legal/Security Lead,"Unverified parties and failed gates cannot transact; fees, documents, shipment evidence and leakage controls pass."
7,Global Institutional Depth,P7-001,Establish multilingual source operations,P1-012,Global Operations Lead,"Language-specific parsers, translation review, terminology and quality benchmarks operate by jurisdiction."
7,Global Institutional Depth,P7-002,"Expand municipal, tribal and autonomous coverage","P0-002,P1-012",Jurisdiction Programme Lead,Lower-level authorities and conflicts with higher-level law are modeled and coverage status is visible.
7,Global Institutional Depth,P7-003,Deploy regional data-residency cells,"P0-008,P1-001",Platform Architect,"Residency cells enforce tenant placement, restricted replication, encryption and tested recovery."
7,Global Institutional Depth,P7-004,Implement private and sovereign deployment pattern,P7-003,Platform Architect,"Customer-isolated deployments preserve contracts, evidence lineage, update delivery and support boundaries."
7,Global Institutional Depth,P7-005,Build government and regulator workspace,"P2-012,P3-012",Public Sector Product Lead,"Regulator workflows support controlled data exchange, inspections, registers and public transparency without customer leakage."
7,Global Institutional Depth,P7-006,Implement global coverage assurance programme,"P0-002,P1-012",Data Governance Lead,"Coverage SLAs, source gaps, legal changes, analyst capacity and public claims are continuously reconciled."
7,Global Institutional Depth,P7-007,Implement model localization and evaluation,P7-001,Model Risk Lead,"Every supported language/jurisdiction has benchmark, review authority, failure thresholds and rollback."
7,Global Institutional Depth,P7-008,Implement advanced policy and market scenarios,P5-012,Market Science Lead,"Scenarios combine regulatory probability, obligations, corridors, entities and market effects with explicit uncertainty."
7,Global Institutional Depth,P7-009,Implement customer data warehouse delivery,P5-012,Data Platform Engineer,"Versioned bulk tables, change data, rights, lineage and deletion/termination controls operate at enterprise scale."
7,Global Institutional Depth,P7-010,Implement external agent and MCP control plane,"P1-012,P2-012",API Platform Lead,"Agents receive scoped tools, citations, approvals, rate limits and auditable actions; no hidden autonomous decisions."
7,Global Institutional Depth,P7-011,Complete institutional assurance programme,"P7-003,P7-006",Security/Compliance Lead,"SOC 2/ISO readiness, BCP, privacy, accessibility, penetration testing and vendor risk are independently evidenced."
7,Global Institutional Depth,P7-012,Operate continuous global release gate,P7-001..P7-011,Programme Director,"Quarterly coverage, quality, security, model, rights, cost and commercial evidence produces GO/HOLD by module and region."
